LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
120000.0,2,1,2,30,2,-1,-1,-1,-1,-1,416.0,416.0,416.0,416.0,0.0,832.0,416.0,416.0,416.0,0.0,832.0,416.0,1
230000.0,2,1,1,31,0,0,-1,2,0,0,23526.0,12187.0,3239.0,3029.0,3029.0,800.0,7005.0,3239.0,0.0,0.0,0.0,0.0,0
180000.0,1,1,2,31,-1,-1,-1,-2,-2,-2,300.0,253.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,3642.0,0
420000.0,1,1,2,34,0,0,0,0,0,0,131939.0,136721.0,140011.0,141695.0,144839.0,147954.0,7000.0,7000.0,5500.0,5500.0,5600.0,5000.0,0
110000.0,2,2,2,23,-1,-1,-1,-1,-1,0,541.0,541.0,541.0,941.0,6993.0,37264.0,541.0,541.0,941.0,6993.0,31229.0,8426.0,0
250000.0,2,1,1,40,2,2,2,0,0,0,170489.0,181700.0,177530.0,181147.0,184784.0,195574.0,13926.0,0.0,6408.0,6478.0,13629.0,0.0,0
50000.0,2,2,1,25,0,0,0,-1,-1,-1,9587.0,6583.0,3243.0,1691.0,-1889.0,2720.0,1200.0,1000.0,1700.0,0.0,5679.0,1600.0,1
160000.0,2,1,2,29,-2,-2,-2,-2,-2,-2,0.0,368.0,0.0,850.0,763.0,0.0,368.0,0.0,850.0,763.0,0.0,1381.0,0
140000.0,2,1,2,35,0,0,0,0,0,0,111941.0,114389.0,116956.0,119334.0,120661.0,123256.0,5800.0,5900.0,5800.0,4800.0,4700.0,5000.0,0
50000.0,2,2,2,27,-1,-1,-2,-2,-2,-1,1500.0,0.0,0.0,0.0,1075.0,4249.0,0.0,0.0,0.0,1075.0,4307.0,0.0,0
130000.0,2,3,2,49,0,0,0,0,0,0,89003.0,91362.0,72197.0,49654.0,28065.0,27500.0,4100.0,3095.0,1630.0,561.0,600.0,0.0,1
280000.0,1,1,1,39,-1,-1,-1,-1,-1,-1,1585.0,6416.0,16387.0,2967.0,1087.0,2644.0,6416.0,16387.0,2981.0,2644.0,2644.0,820.0,0
50000.0,1,2,2,56,0,0,0,-1,-1,0,37624.0,44915.0,46665.0,390.0,430.0,390.0,8000.0,26390.0,390.0,430.0,350.0,3581.0,0
80000.0,2,5,1,25,0,0,0,0,0,0,75296.0,74792.0,75825.0,77454.0,78862.0,73442.0,4000.0,3400.0,4000.0,3349.0,2784.0,3000.0,0
20000.0,2,1,2,24,0,0,0,0,0,0,24146.0,25374.0,19075.0,18907.0,18507.0,20046.0,2024.0,2000.0,1005.0,1188.0,2002.0,1015.0,0
100000.0,2,2,2,28,2,0,0,2,2,2,21117.0,22163.0,26789.0,26065.0,27615.0,28122.0,1400.0,5000.0,0.0,2300.0,1100.0,1300.0,1
500000.0,2,3,1,36,0,0,0,0,0,0,70016.0,70837.0,63488.0,32050.0,46393.0,35207.0,2568.0,2000.0,1285.0,15000.0,1520.0,6994.0,0
40000.0,2,2,2,44,2,2,2,2,2,2,35515.0,36176.0,37490.0,38726.0,39795.0,40230.0,1550.0,2200.0,2170.0,2001.0,1601.0,1602.0,1
30000.0,2,1,1,49,-2,-2,-2,-2,-2,-2,3340.0,0.0,1220.0,480.0,0.0,174.0,0.0,1220.0,480.0,0.0,174.0,1162.0,0
20000.0,2,2,2,22,0,0,0,0,0,0,15247.0,16561.0,17280.0,18431.0,18341.0,19569.0,1575.0,1294.0,1596.0,655.0,1669.0,0.0,1
230000.0,1,1,1,45,0,0,0,0,0,0,43885.0,44926.0,45941.0,46853.0,47834.0,48942.0,1749.0,1764.0,1676.0,1735.0,1902.0,2189.0,0
180000.0,2,3,1,43,1,-1,-1,-1,-2,-2,0.0,8016.0,1200.0,0.0,0.0,0.0,8016.0,1200.0,0.0,0.0,0.0,0.0,0
280000.0,2,3,1,46,0,0,0,0,0,0,100858.0,107768.0,111858.0,83428.0,73908.0,81908.0,7768.0,5000.0,10000.0,0.0,8000.0,0.0,0
70000.0,2,2,2,29,0,0,0,0,0,0,20244.0,65072.0,61652.0,62788.0,57325.0,53415.0,50005.0,2312.0,2237.0,2038.0,2000.0,2127.0,0
30000.0,1,2,2,33,0,-1,0,0,0,0,29574.0,26663.0,27731.0,56359.0,28847.0,13030.0,28000.0,2336.0,2000.0,2546.0,1000.0,0.0,0
160000.0,2,3,1,55,-1,-1,-1,-1,-1,-1,4144.0,2016.0,3384.0,1449.0,5542.0,7314.0,2016.0,3399.0,1449.0,5590.0,7314.0,1579.0,0
200000.0,1,1,2,52,0,0,0,0,0,0,115702.0,113576.0,109812.0,104567.0,100541.0,96495.0,5517.0,5381.0,3838.0,3589.0,3397.0,3296.0,0
80000.0,1,2,1,41,0,0,0,0,0,0,12781.0,9994.0,10704.0,9201.0,6275.0,2678.0,2000.0,4000.0,1000.0,1000.0,1000.0,1000.0,0
20000.0,1,2,2,23,0,0,2,2,0,0,9811.0,15726.0,15723.0,15173.0,15925.0,16245.0,6097.0,547.0,0.0,1000.0,585.0,1000.0,0
280000.0,2,2,2,47,-2,-2,-1,0,0,0,12477.0,13915.0,67119.0,53044.0,66668.0,61466.0,13987.0,69805.0,1711.0,26743.0,10057.0,54318.0,0
30000.0,2,2,1,44,2,0,0,0,0,0,21003.0,22309.0,23343.0,24336.0,24475.0,24643.0,1662.0,1696.0,1689.0,1016.0,893.0,1100.0,1
50000.0,2,1,2,22,2,2,2,0,0,0,41632.0,44069.0,37395.0,32284.0,32805.0,33751.0,3509.0,0.0,1302.0,1191.0,1492.0,1949.0,1
200000.0,2,1,1,26,-1,-1,-1,-1,-1,0,6666.0,6666.0,6666.0,6666.0,11862.0,12501.0,6666.0,6666.0,6666.0,11862.0,7501.0,1000.0,0
30000.0,1,2,2,23,0,0,0,0,0,0,27044.0,28384.0,29037.0,29667.0,29669.0,29995.0,2000.0,1427.0,1291.0,1029.0,1229.0,549.0,0
50000.0,1,3,2,22,0,0,-1,0,0,0,48423.0,44450.0,956.0,976.0,1976.0,2939.0,2150.0,956.0,20.0,1000.0,1000.0,1000.0,1
160000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150000.0,1,2,1,30,1,2,-1,-1,0,0,40496.0,3880.0,1377.0,4007.0,7742.0,11376.0,1000.0,5000.0,5960.0,5000.0,5000.0,1000.0,0
20000.0,1,2,2,23,1,3,2,2,0,0,17529.0,16967.0,17176.0,16605.0,17185.0,18340.0,0.0,780.0,0.0,1000.0,1600.0,1000.0,1
20000.0,1,2,2,25,0,0,3,2,2,-1,15789.0,21698.0,21054.0,20355.0,19980.0,3470.0,6500.0,0.0,0.0,10000.0,25065.0,177.0,0
10000.0,2,3,1,49,0,0,0,0,0,0,9807.0,9976.0,7538.0,9322.0,9567.0,9766.0,2114.0,1131.0,2155.0,1400.0,1354.0,428.0,0
370000.0,1,1,2,31,0,0,0,0,0,0,35605.0,39837.0,41576.0,44178.0,47838.0,54341.0,5000.0,3000.0,5000.0,5000.0,8000.0,10000.0,0
130000.0,1,2,3,34,2,2,2,0,0,0,126749.0,135867.0,132249.0,132416.0,131959.0,128375.0,11243.0,0.0,5600.0,5150.0,5100.0,4512.0,1
100000.0,2,2,2,31,0,0,0,0,0,0,101458.0,101207.0,101421.0,101111.0,101384.0,101358.0,3800.0,4000.0,3602.0,3719.0,3700.0,7800.0,1
360000.0,2,2,2,43,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84216.0,0
230000.0,2,2,2,29,-2,-1,-1,-1,-1,-1,0.0,4375.0,1225.0,401.0,2460.0,804.0,4375.0,1225.0,401.0,2460.0,804.0,708.0,0
110000.0,1,2,1,38,0,0,0,0,0,0,42617.0,42229.0,42214.0,41405.0,40846.0,40385.0,1678.0,2023.0,1574.0,1375.0,1468.0,1649.0,0
620000.0,1,2,2,29,0,0,0,0,0,0,524191.0,524555.0,445543.0,443199.0,451040.0,431316.0,19306.0,15669.0,16011.0,16000.0,15500.0,17002.0,0
260000.0,2,1,2,28,1,-2,-1,-1,-2,-2,0.0,0.0,355.0,2165.0,2165.0,0.0,0.0,355.0,2835.0,335.0,335.0,335.0,0
180000.0,2,2,1,38,0,0,0,0,0,2,36479.0,38813.0,40611.0,42641.0,45287.0,44577.0,2810.0,2600.0,2568.0,3214.0,0.0,1630.0,0
110000.0,1,2,2,26,0,0,0,0,0,2,34949.0,35686.0,37086.0,37967.0,40551.0,39749.0,1600.0,2000.0,1500.0,3200.0,0.0,1500.0,0
80000.0,2,3,1,55,0,0,0,0,0,0,69116.0,64325.0,59653.0,55159.0,56277.0,57347.0,2500.0,2000.0,2000.0,2000.0,2000.0,2000.0,0
180000.0,2,3,2,52,0,0,0,0,0,0,173065.0,171015.0,162516.0,163447.0,134939.0,135815.0,5902.0,7693.0,5464.0,4893.0,5095.0,4862.0,0
90000.0,1,3,1,31,0,0,0,0,0,0,68476.0,68485.0,67000.0,45837.0,49959.0,52981.0,4017.0,4000.0,4000.0,5000.0,4000.0,4000.0,0
450000.0,1,2,2,37,0,0,-1,-1,0,0,457627.0,38692.0,4549.0,16885.0,6440.0,7440.0,1000.0,4549.0,16885.0,129.0,1000.0,0.0,0
70000.0,2,2,1,34,2,2,2,2,2,2,16965.0,17398.0,18310.0,18611.0,18966.0,19403.0,1000.0,1500.0,900.0,800.0,900.0,2000.0,1
220000.0,2,1,2,31,-1,-1,-2,-2,-2,-1,232.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0
170000.0,1,2,2,31,0,-1,0,0,0,0,172012.0,167929.0,116189.0,192082.0,120077.0,92593.0,168019.0,5000.0,6000.0,7125.0,5000.0,4500.0,0
230000.0,1,2,2,30,0,0,0,0,0,0,120113.0,112301.0,104587.0,98333.0,88909.0,78872.0,4501.0,4585.0,3328.0,3500.0,2872.0,3000.0,0
180000.0,2,3,1,47,-1,0,0,0,0,0,14525.0,13828.0,10394.0,17562.0,8495.0,5090.0,1347.0,5000.0,10026.0,5000.0,785.0,5000.0,0
500000.0,2,3,2,40,0,0,0,0,0,0,212961.0,264961.0,237006.0,139311.0,128095.0,181304.0,63000.0,20078.0,30141.0,30000.0,60000.0,50000.0,0
80000.0,2,1,2,29,1,-2,-1,0,-1,-1,0.0,0.0,8061.0,8061.0,9390.0,4337.0,0.0,8061.0,0.0,9390.0,4500.0,0.0,1
150000.0,2,1,2,30,-2,-2,-2,-2,-2,-2,217.0,0.0,2403.0,0.0,4932.0,402.0,0.0,2403.0,0.0,4932.0,402.0,3516.0,0
50000.0,2,1,2,31,1,2,0,0,2,2,1129.0,1111.0,3186.0,6527.0,3328.0,33166.0,0.0,3000.0,3341.0,0.0,30000.0,0.0,1
90000.0,1,1,2,31,0,0,0,0,0,0,79397.0,77962.0,73870.0,58792.0,58402.0,59633.0,2950.0,3000.0,2205.0,2300.0,2300.0,3000.0,1
230000.0,2,3,1,30,0,0,0,0,0,0,190919.0,191785.0,164602.0,136569.0,139522.0,132239.0,7214.0,6264.0,10000.0,5028.0,5000.0,5000.0,0
90000.0,1,2,1,29,-1,-1,-1,0,0,-1,500.0,715.0,26854.0,28146.0,0.0,2000.0,715.0,26854.0,3000.0,0.0,2000.0,0.0,0
180000.0,1,1,2,51,0,0,0,0,0,2,134327.0,123211.0,118587.0,118482.0,119952.0,110003.0,6015.0,6005.0,5702.0,7509.0,14.0,5011.0,1
30000.0,2,1,2,24,0,0,0,0,0,0,21540.0,22236.0,23574.0,24583.0,24915.0,25280.0,1358.0,1696.0,1705.0,1037.0,915.0,929.0,0
70000.0,1,3,2,53,0,0,0,0,0,0,9928.0,11259.0,12262.0,17046.0,17618.0,18321.0,1497.0,1500.0,5000.0,1000.0,1000.0,1000.0,0
150000.0,1,3,2,39,1,-1,-1,-2,-2,-2,214450.0,147280.0,150000.0,0.0,-5000.0,0.0,5180.0,5000.0,0.0,0.0,5000.0,0.0,0
100000.0,1,1,1,36,0,0,0,0,0,0,23070.0,18806.0,20183.0,21540.0,25775.0,0.0,1700.0,2000.0,2000.0,5000.0,0.0,0.0,0
240000.0,2,2,1,53,-2,-2,-2,-2,-2,-2,890.0,236.0,0.0,2194.0,439.0,1085.0,236.0,0.0,2194.0,441.0,1085.0,858.0,0
220000.0,2,1,2,40,-1,-1,-1,-1,-1,-1,13654.0,12312.0,23031.0,7229.0,3942.0,2132.0,12312.0,23031.0,7234.0,3942.0,2132.0,5809.0,0
220000.0,1,2,1,39,5,4,3,2,0,0,187665.0,175338.0,163018.0,128157.0,131067.0,108683.0,0.0,11.0,0.0,4561.0,5007.0,170806.0,0
20000.0,1,1,2,42,3,2,2,3,3,3,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140000.0,2,3,2,26,0,0,0,0,0,0,93384.0,93443.0,57219.0,57621.0,48323.0,45082.0,3514.0,3000.0,2000.0,2000.0,1636.0,1686.0,0
50000.0,1,2,1,32,0,0,0,-1,2,0,50564.0,49710.0,0.0,50551.0,40590.0,39384.0,2686.0,0.0,50551.0,0.0,1600.0,1500.0,0
200000.0,1,1,1,45,1,-1,-1,-2,-2,-2,0.0,479.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,1
220000.0,2,2,1,33,0,0,0,0,0,0,204144.0,175748.0,172758.0,175030.0,174122.0,175472.0,6500.0,6300.0,7700.0,6300.0,6300.0,6150.0,0
450000.0,2,1,2,45,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,4595.0,198.0,0.0,0.0,0.0,4595.0,198.0,5095.0,0
50000.0,1,2,2,28,0,0,0,0,0,0,2940.0,3989.0,5116.0,4425.0,6353.0,15829.0,1100.0,1205.0,2000.0,2000.0,10000.0,1000.0,0
300000.0,2,1,2,39,0,0,0,0,0,2,87540.0,89792.0,91558.0,93741.0,99802.0,97711.0,5000.0,4500.0,5000.0,8000.0,0.0,4000.0,0
50000.0,2,1,2,24,1,2,2,2,2,0,33385.0,35538.0,34686.0,39097.0,38171.0,39396.0,3000.0,0.0,5000.0,0.0,2000.0,5000.0,0
150000.0,2,3,1,65,-2,-2,-2,-2,-2,-2,0.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0
80000.0,2,2,1,47,0,0,2,0,0,0,77714.0,79049.0,79206.0,78031.0,78293.0,78870.0,5000.0,3000.0,3000.0,3000.0,3000.0,5000.0,1
230000.0,2,1,1,43,-2,-2,-2,-1,0,0,0.0,0.0,200.0,43998.0,23400.0,13000.0,0.0,200.0,43998.0,52.0,13000.0,26200.0,0
20000.0,1,3,0,29,5,4,3,2,3,3,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110000.0,2,3,1,36,0,0,0,0,0,0,114097.0,109609.0,87374.0,49525.0,49225.0,48968.0,5620.0,9860.0,1741.0,1702.0,1736.0,1894.0,0
250000.0,2,2,2,25,0,0,0,0,0,3,25823.0,26114.0,27446.0,28371.0,4715.0,4358.0,1500.0,1575.0,1500.0,1000.0,0.0,0.0,0
30000.0,1,3,2,23,0,0,-2,-1,0,0,4443.0,370.0,380.0,590.0,7704.0,20204.0,430.0,400.0,601.0,7504.0,15005.0,5674.0,0
20000.0,2,2,2,45,1,1,-1,0,-1,-1,4516.0,-630.0,18976.0,8005.0,3034.0,9287.0,700.0,21400.0,1005.0,3034.0,9287.0,85.0,0
50000.0,2,2,2,52,1,2,0,0,0,2,43343.0,43360.0,23417.0,21969.0,21179.0,18711.0,1300.0,1400.0,920.0,1700.0,0.0,900.0,1
20000.0,1,3,1,46,1,2,0,0,0,0,19450.0,18844.0,19853.0,19894.0,19993.0,20030.0,0.0,1626.0,1615.0,710.0,720.0,1587.0,0
60000.0,1,2,2,40,3,3,5,4,3,2,9744.0,10940.0,10630.0,10320.0,9865.0,10055.0,1500.0,0.0,0.0,0.0,500.0,0.0,0
110000.0,2,1,1,33,2,2,2,2,2,2,24178.0,25270.0,24669.0,26738.0,27201.0,26723.0,1700.0,0.0,2700.0,1100.0,0.0,875.0,1
450000.0,1,1,1,61,-1,0,0,0,0,0,156875.0,154853.0,152936.0,150996.0,149094.0,147297.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,1
30000.0,1,5,2,38,0,0,-2,-2,-2,-2,30000.0,-720.0,-720.0,-1500.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0
500000.0,2,1,2,37,0,0,0,0,0,0,80846.0,74776.0,73558.0,71055.0,61248.0,40737.0,3032.0,3200.0,1946.0,1734.0,2000.0,4128.0,0
310000.0,1,2,2,46,2,0,0,0,0,0,102064.0,104072.0,105063.0,107113.0,109263.0,120347.0,5030.0,4000.0,3633.0,3671.0,12600.0,0.0,1
50000.0,2,2,2,25,0,0,0,0,0,0,23529.0,27889.0,22800.0,21930.0,23183.0,17613.0,4820.0,1500.0,1000.0,2000.0,1000.0,500.0,0
50000.0,1,3,2,40,0,0,0,0,0,-1,46185.0,47570.0,38984.0,23566.0,21652.0,3612.0,3000.0,4022.0,3034.0,5000.0,3700.0,20775.0,1
360000.0,2,2,2,25,2,2,-2,-2,-2,-2,1614.0,-40.0,-40.0,-40.0,-40.0,1153.0,40.0,0.0,0.0,0.0,1193.0,17.0,0
500000.0,2,1,2,37,-2,-2,-2,-2,-2,-2,747.0,0.0,0.0,989.0,0.0,0.0,0.0,0.0,989.0,0.0,0.0,880.0,0
240000.0,2,1,1,51,-2,-2,-2,-1,-1,-1,4302.0,542.0,3934.0,6630.0,6817.0,7658.0,546.0,3953.0,6646.0,6865.0,7673.0,4208.0,0
180000.0,2,2,2,34,2,0,0,0,2,2,51385.0,53925.0,54848.0,57988.0,59438.0,61974.0,3140.0,923.0,4663.0,2530.0,3687.0,5000.0,1
120000.0,2,2,1,37,0,0,0,0,0,0,106469.0,108606.0,107945.0,111622.0,115301.0,117873.0,5400.0,4000.0,5500.0,5500.0,5500.0,1000.0,0
90000.0,2,1,2,27,1,2,2,2,2,2,17374.0,16806.0,18768.0,18169.0,19682.0,19220.0,0.0,2251.0,0.0,1807.0,0.0,10000.0,0
30000.0,2,2,1,22,1,2,2,0,0,0,28933.0,30175.0,29383.0,29823.0,30379.0,29686.0,2000.0,0.0,1200.0,1162.0,1097.0,3846.0,0
50000.0,2,2,3,39,0,0,0,0,0,0,49005.0,49407.0,45881.0,45784.0,50072.0,49112.0,6000.0,5000.0,5000.0,8000.0,4000.0,4000.0,0
30000.0,2,1,2,24,-1,-1,2,-1,-1,-1,736.0,1472.0,736.0,736.0,736.0,1423.0,1472.0,0.0,736.0,736.0,1423.0,831.0,0
150000.0,2,2,2,29,-1,-1,-1,-2,-1,-1,1739.0,1984.0,112.0,0.0,3865.0,5562.0,1984.0,112.0,0.0,3865.0,5575.0,10963.0,0
390000.0,1,1,1,47,-1,-1,-1,-1,-1,-1,5768.0,8843.0,18982.0,11700.0,0.0,2978.0,8875.0,19051.0,11754.0,0.0,2978.0,0.0,0
390000.0,2,5,2,45,0,0,0,0,0,0,184547.0,179819.0,162571.0,167832.0,205750.0,212634.0,6645.0,5782.0,7782.0,42393.0,10414.0,7422.0,0
260000.0,1,2,2,29,0,0,0,0,0,2,190074.0,193244.0,182514.0,185491.0,197985.0,315366.0,6847.0,6846.0,8186.0,20000.0,0.0,10000.0,0
50000.0,1,2,1,32,0,0,0,0,0,0,50764.0,50428.0,49564.0,21002.0,20230.0,19462.0,2200.0,1500.0,1500.0,2000.0,1700.0,2000.0,1
220000.0,2,1,2,27,0,0,0,-1,-1,-1,66620.0,56611.0,37504.0,9499.0,3679.0,13232.0,16008.0,12000.0,15030.0,10000.0,15000.0,5000.0,0
90000.0,2,2,1,25,0,0,0,0,0,0,87525.0,89052.0,85807.0,68186.0,69011.0,70341.0,4200.0,3000.0,3000.0,3000.0,2600.0,3000.0,1
500000.0,1,2,1,38,0,0,0,-1,-1,-1,499231.0,511629.0,-311.0,6391.0,420.0,7619.0,22600.0,501.0,6892.0,421.0,7695.0,8679.0,1
200000.0,2,2,2,28,1,-1,-1,-1,-1,-1,0.0,1732.0,828.0,0.0,497.0,1809.0,1732.0,828.0,0.0,497.0,1809.0,0.0,0
150000.0,1,1,1,39,0,0,0,0,0,0,65627.0,64803.0,62844.0,61785.0,61136.0,57287.0,2982.0,2803.0,2019.0,2060.0,2098.0,2024.0,0
50000.0,1,3,1,46,-1,2,2,-2,-2,-2,13473.0,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30000.0,2,2,2,50,0,0,0,0,0,0,10741.0,12057.0,12778.0,14090.0,14063.0,14357.0,1498.0,1219.0,1531.0,504.0,521.0,523.0,0
20000.0,1,2,2,23,1,-2,-2,-2,-1,0,0.0,0.0,0.0,0.0,17330.0,16066.0,0.0,0.0,0.0,17330.0,738.0,1000.0,0
280000.0,2,2,1,39,2,3,2,2,2,2,186838.0,190570.0,194189.0,189806.0,201410.0,205479.0,8000.0,8000.0,0.0,14500.0,7300.0,7500.0,1
70000.0,2,2,2,28,0,0,0,0,0,0,68462.0,69205.0,70644.0,70759.0,70352.0,70659.0,3100.0,3160.0,3100.0,2500.0,2600.0,2800.0,0
150000.0,2,1,2,29,-1,2,2,-1,2,-1,766.0,515.0,-150.0,974.0,269.0,191.0,0.0,85.0,1124.0,0.0,191.0,591.0,1
10000.0,2,2,2,22,1,-1,-1,-2,-2,-2,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1
50000.0,2,1,2,22,0,-1,-1,-1,-1,-1,4124.0,1070.0,0.0,1217.0,3766.0,381.0,1070.0,0.0,1217.0,3766.0,381.0,1980.0,0
30000.0,2,3,1,37,0,-1,-1,0,0,0,3860.0,780.0,27557.0,28433.0,29477.0,28910.0,780.0,27557.0,2000.0,1500.0,1100.0,1500.0,0
30000.0,2,2,2,23,2,0,0,0,0,0,30558.0,30363.0,29077.0,30029.0,26366.0,28916.0,1500.0,1600.0,1500.0,1000.0,3000.0,0.0,1
140000.0,2,1,2,24,0,0,0,0,0,0,25118.0,18948.0,16923.0,12103.0,11519.0,11611.0,2000.0,2001.0,401.0,1000.0,1000.0,1000.0,0
320000.0,2,1,2,33,-1,-1,2,0,0,-1,368.0,10038.0,8434.0,7061.0,1289.0,365.0,10550.0,0.0,0.0,0.0,365.0,12110.0,0
260000.0,2,1,2,40,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
220000.0,2,2,1,35,0,0,0,0,0,0,45739.0,46975.0,48211.0,47418.0,48657.0,48129.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0
10000.0,1,2,2,22,-1,5,4,3,2,5,10160.0,9860.0,9565.0,9265.0,11951.0,12189.0,0.0,0.0,0.0,3000.0,1000.0,0.0,0
20000.0,1,1,2,30,-1,0,0,0,0,0,82812.0,85352.0,91161.0,92910.0,98710.0,150.0,2697.0,6000.0,3000.0,6000.0,150.0,1832.0,0
340000.0,1,1,1,42,-2,-2,-2,-2,-2,-2,6888.0,2913.0,340.0,2823.0,13045.0,14006.0,2913.0,340.0,2823.0,13062.0,14016.0,4513.0,0
100000.0,2,2,2,31,-2,-2,-2,-2,-2,-2,4576.0,1872.0,2511.0,3333.0,2765.0,900.0,1872.0,2517.0,3339.0,2765.0,900.0,2575.0,1
320000.0,2,1,1,45,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,370.0,9301.0,0.0,0.0,0.0,370.0,9301.0,0.0,0.0,0
110000.0,2,2,2,33,0,0,0,0,0,0,104151.0,106217.0,108884.0,112149.0,112507.0,114200.0,3791.0,4368.0,5500.0,3971.0,6280.0,10300.0,1
140000.0,1,2,2,24,-1,-1,-1,-1,-1,-1,6312.0,-148.0,8431.0,11034.0,5040.0,7838.0,0.0,8579.0,11034.0,5040.0,7838.0,11737.0,1
100000.0,2,3,1,41,0,0,0,0,0,0,70202.0,70978.0,70814.0,69786.0,68116.0,62652.0,2548.0,2687.0,2997.0,2147.0,2369.0,2434.0,0
30000.0,2,1,2,25,2,2,2,2,2,0,29335.0,29869.0,26425.0,28034.0,27375.0,23466.0,4000.0,0.0,4400.0,0.0,2000.0,2000.0,1
140000.0,2,1,2,31,0,0,0,0,0,0,112936.0,117021.0,107837.0,96546.0,95489.0,97347.0,6000.0,5000.0,3400.0,3617.0,3600.0,3700.0,0
